id,name,map_url,img_url,location,has_sockets,has_toilet,has_wifi,can_take_calls,seats,coffee_price,lat,lon
1,Science Gallery London,https://g.page/scigallerylon?share,https://atlondonbridge.com/wp-content/uploads/2019/02/Pano_9758_9761-Edit-190918_LTS_Science_Gallery-Medium-Crop-V2.jpg,London Bridge,1,1,0,1,50+,£2.40,51.50428957,-0.087409015
2,Social - Copeland Road,https://g.page/CopelandSocial?share,https://images.squarespace-cdn.com/content/v1/5734f3ff4d088e2c5b08fe13/1555848382269-9F13FE1WQDNUUDQOAOXF/ke17ZwdGBToddI8pDm48kAeyi0pcxjZfLZiASAF9yCBZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpzV8NE8s7067ZLWyi1jRvJklJnlBFEUyq1al9AqaQ7pI4DcRJq_Lf3JCtFMXgpPQyk/copeland-park-bar-peckham,Peckham,1,1,1,0,20-30,£2.75,51.4699596,-0.066674917
3,One & All Cafe Peckham,https://g.page/one-all-cafe?share,https://lh3.googleusercontent.com/p/AF1QipOMzXpKAQNyUvrjTGHqCgWk8spwnzwP8Ml2aDKt=s0,Peckham,1,1,1,0,20-30,£2.75,51.46589782,-0.066575046
4,Old Spike,"https://www.google.com/maps/place/Old+Spike+Roastery/@51.4651552,-0.0666088,17z/data=!4m12!1m6!3m5!1s0x487603a3a7dd838d:0x4105b39b30a737cf!2sOld+Spike+Roastery!8m2!3d51.4651552!4d-0.0666088!3m4!1s0x487603a3a7dd838d:0x4105b39b30a737cf!8m2!3d51.4651552!4d-0.0666088",https://lh3.googleusercontent.com/p/AF1QipPBAt6bYna7pv5c7e_PhCDPMKPb6oFf6kMT2VQ1=s0,Peckham,1,0,1,0,0-10,£2.80,51.46528888,-0.0666088
5,Fuckoffee Bermondsey,https://goo.gl/maps/ugP2B1AV7FELHSgn6,https://lh3.googleusercontent.com/p/AF1QipM9Dz_QMkOF2da1aNLuTzS_vPvVWBnE84rZLK_G=s0,Bermondsey,1,1,1,0,20-30,£2.65,51.49932545,-0.081130917
6,Mare Street Market,https://goo.gl/maps/DWnwaeeiwdYsBkEH9,https://lh3.googleusercontent.com/p/AF1QipN-C650VmJ1XZhzOIBTg1bUu3_to_GHpyrmUplt=s0,Hackney,1,1,1,0,50+,£2.80,51.53789077,-0.057222473
8,Goswell Road Coffee,https://goo.gl/maps/D9nXNYK3fa1cxwpK8,https://lh3.googleusercontent.com/p/AF1QipPnOfo7wTICdiAyybF3iFhD3l5aoQjSO-GErma1=s0,Clerkenwell,1,1,1,0,Oct-20,£2.10,51.52589943,-0.099606275
9,The Southwark Cathedral Cafe,https://goo.gl/maps/LU1imQzBCRLFBxKUA,https://lh3.googleusercontent.com/p/AF1QipMrdTyRRozGBltwxAseQ4QeuNhbED6meQXlCPsx=s0,London Bridge,1,1,1,1,20-30,£2.30,51.50655615,-0.089283387
10,Trade Commercial Road,https://goo.gl/maps/v5tzRBVhPFueYp4x6,https://lh3.googleusercontent.com/p/AF1QipNtHqqIc3kwhpjknrVcMdkhmpA77LDYKmpOJlxf=s0,Whitechapel,0,1,1,0,20-30,£2.70,51.51756108,-0.0737614
11,The Tate Modern Cafe,https://goo.gl/maps/6RvPHyhsDDUPs1ox8,https://lh3.googleusercontent.com/p/AF1QipOFimpFQmUORVGg0ER3lrfEiEnKpnYJck5guFqC=s0,Bankside,0,1,1,1,30-40,£2.70,51.50767541,-0.099388588
12,Forage Cafe,https://goo.gl/maps/HC4e9FJL48kLRH8W9,https://lh3.googleusercontent.com/p/AF1QipPyJHFtVzxor4RyQrT-ZEk7ej7OxvmIQYZUHe6G=s0,Clerkenwell,1,1,1,1,20-30,£2.50,51.52460486,-0.100552673
13,Citizen M Hotel Shoreditch,https://g.page/citizenm-london-shoreditch?share,https://lh3.googleusercontent.com/p/AF1QipNJQIg-6YTOZhbLu12yGPN3klDxygs7cNAjEo0C=s0,Shoreditch,1,1,1,0,30-40,£2.80,51.52430546,-0.078749675
14,Barbican Centre,https://goo.gl/maps/XPrcFj91LsQBvUa27,https://images.adsttc.com/media/images/5014/ec99/28ba/0d58/2800/0d0f/large_jpg/stringio.jpg?1414576924,Barbican,0,1,1,1,50+,£3.00,51.52027444,-0.093818588
15,The Slaughtered Lamb,https://goo.gl/maps/mwAG272nQwSUc9bn8,https://lh3.googleusercontent.com/p/AF1QipOL6jxxpE_D3YS-Zzih61DqNXJKvRIDFiP6ieUI=s0,Clerkenwell,0,1,1,0,20-30,£2.60,51.52345291,-0.101226588
